,Link,content,News_date
10,https://timesofindia.indiatimes.com/city/kochi/youth-killed-after-car-jumps-red-light-fatal-accident/articleshow/107197026.cms,"Kochi: Two people were killed in separate road accidents in the district since Thursday. A 21-year-old man riding a bike died after the two-wheeler collided with a car that jumped traffic lights at Kalamassery on Thursday evening. The bike rider, Thodupuzha native Salman Aziz, died on the spot. Police said the incident occurred at 2pm at TVS Junction after the car driver T P Varghese (71) missed the red light and crashed at high speed into the bike that had passed through the green light. Varghese has been booked under Sections 279 (negligent driving endangering human life), and 304 (culpable homicide) of the Indian Penal Code (IPC) as well as Section 184 of the Motor Vehicles Act. In yet another incident, an 18-year-old girl riding pillion on a scooter died after a KSRTC bus knocked down the two-wheeler at Kandanadu Junction at Udayamperoor on Friday. Devapriya Jolly was traveling with her brother Indrajit P. The bus was trying to overtake another vehicle in front of it when it hit the scooter. Indrajit has been admitted to hospital with minor injuries. Explore Your Financial Landscape with Personalized Credit Insights."," Jan 28, 2024, 08:37 IST"
11,https://timesofindia.indiatimes.com/tv/news/kannada/sonu-srinivas-gowda-dispels-car-accident-rumors-confirms-wellbeing/articleshow/107422930.cms,"In a swift turn of events, rumors circulating on social media about popular personality Sonu Srinivas Gowda being involved in a car accident have been officially debunked. Sonu, well-known for her presence on social platforms and his participation in ' Bigg Boss Kannada OTT ,' took to Instagram to clarify the situation, assuring fans and followers of his well-being . Contrary to the speculative reports that gained momentum, Sonu Srinivas Gowda asserted, ""Nothing happened to me. I am fine. All the rumors on social media that I had an accident are lies. I am comfortable."" The statement was posted on his Instagram account on Monday morning, putting an end to the unfounded rumors that had created a stir. The initial gossip suggested that Sonu Gowda had met with an accident while learning to drive a car. According to the false reports, during a driving lesson, a mishap occurred when she mistakenly pressed the accelerator instead of the brake, resulting in injuries to her hands and legs. The rumors further claimed that she was admitted to the hospital for medical attention. Refuting these claims, Sonu Gowda clarified that there was no truth to the accident rumors. The detailed misinformation included accounts of the car being severely damaged in the process. The clarification from Sonu Srinivas Gowda has put an end to the unnecessary panic and concern among his followers. Fans of the social media personality and 'Bigg Boss Kannada OTT 1' contestant can now rest assured that Sonu Srinivas Gowda is safe and sound. The incident serves as a reminder of the potential harm that unfounded gossip on social media platforms can cause, urging users to verify information before sharing and spreading unverified news."," Feb 5, 2024, 13:54 IST"
12,https://timesofindia.indiatimes.com/city/delhi/car-driver-booked-for-accident-that-killed-37-yr-old-in-s-delhi/articleshow/107394532.cms,"New Delhi: Two weeks after a car collided with an auto, resulting in the death of a 37-year-old man and injuries to two passengers, including a 5-year-old, a case of negligence has been registered, police said on Friday. The incident took place in Defence Colony area of south Delhi. The offending vehicle has been identified and a manhunt has been initiated to nab the suspect. According to police they had received a PCR call on the afternoon of Jan 20 informing them about a crash near Moolchand hospital. “ The victims, a father-daughter duo, and the auto driver had sustained injuries and were rushed to the hospital.” said a senior police officer. The passengers had received minor injuries and were discharged from the hospital but the victim identified as Gareeb Das succumbed to his injuries on Friday. A case was registered under relevant sections of death due to negligence. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 4, 2024, 08:12 IST"
13,https://timesofindia.indiatimes.com/city/bhubaneswar/4-killed-as-car-crashes-into-roadside-house-in-cuttack/articleshow/107379707.cms,"BHUBANESWAR: Four people were killed in a car accident in Odisha 's Cuttack on Friday night. The incident took place near Gadadharpur village in the Tigiria police station area on Friday night. The deceased were friends who were returning home after attending a wedding in Koilikanya village. Police suspect that low visibility caused by fog may have contributed to the accident. The bodies have been sent for post-mortem examination. In another unfortunate incident in the district, two individuals lost their lives when their motorcycle collided with a bus in Janhia Chhak in the Nischintakoili police station area on Friday night. The victims hailed from Jagatsinghpur district. The police are currently conducting an investigation to determine the cause of the accident. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 3, 2024, 12:24 IST"
14,https://timesofindia.indiatimes.com/india/four-of-family-killed-in-jk-car-accident/articleshow/107407257.cms,"JAMMU : Four members of a family were killed and one critically injured early Sunday after their car, rear-ended by a truck, smashed into another truck in front in Udhampur ’s Salora area, police said. “All were rushed to GMC Udhampur where four were declared dead. An injured girl was referred to the Government Medical College and Hospital (GMC&H) Jammu. She is stated to be stable,” a police official said. The deceased have been identified as Nitin Dogra (37), his wife Ritu (32) and daughters Khushi (17) and Vani (11), and the injured as Vrinda (15). The family hailed from Jammu. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 4, 2024, 23:50 IST"
15,https://timesofindia.indiatimes.com/city/bhopal/tragic-morning-walk-turns-fatal-two-brothers-killed-in-anuppur-accident/articleshow/107065962.cms,"Jabalpur : Two siblings who had gone for a morning walk were killed after a speeding car hit them in Anuppur district on Monday morning. The incident took place on national highway 43, near Funga police outpost. The deceased have been identified as Sunil Sahu, 32 and Shubham Sahu, 26, both residents of Chandiya but were living in Kadam Tola of Anuppur where they ran a medical shop. Police said that both brothers had gone for a morning walk and were returning home at around 7 am, when near Pyari bus stand they were hit by a car. The car with registration number CG 16 CR 5272 was coming from Anuppur and was going towards Kotma when the accident took place, said police. A crowd gathered on the national highway, after which a case was registered and both the bodies were sent for autopsy, police said. The car has been seized and detailed investigations are being carried out, police said.. TNN Explore Your Financial Landscape with Personalized Credit Insights."," Jan 23, 2024, 08:28 IST"
16,https://timesofindia.indiatimes.com/city/chennai/elderly-man-killed-in-fatal-road-accident-in-virudhunagar/articleshow/107139440.cms,"VIRUDHUNAGAR: An elderly man riding on a bicycle was fatally knocked down by a speeding car in Srivilliputhur in Virudhunagar district on Wednesday. The deceased man has been identified as Ganapathy Aasari,70, of Keelapatti Pillayarkoil Street in Srivilliputhur. The accident happened on the Srivilliputhur-Sivakasi Road. Ganapathy died on the spot. Srivilliputhur Town police registered a case and were on the lookout for the car driver. Explore Your Financial Landscape with Personalized Credit Insights."," Jan 25, 2024, 13:43 IST"
17,https://timesofindia.indiatimes.com/city/bhubaneswar/noted-ollywood-director-in-critical-condition-after-car-accident/articleshow/107043651.cms,"BHUBANESWAR: Three men died and noted Ollywood director Sudhakar Basant sustained grievous injuries in two separate road accidents on Sunday. Basant's car rammed into a stationary truck near Manguli Chhak in Cuttack in the early hours. Police sources said Basant was seated in the front adjacent to the driver's seat. Basant, his driver and two others were travelling from Baripada to Cuttack when the accident took place, police sources said. ""The car was badly damaged. The intensity of the collision was huge. Fire services personnel rescued the passengers from the mangled car by using gas cutters and rushed them to SCB Medical College and Hospital. Basant's condition was extremely critical. He has not yet regained his consciousness,"" an officer of the commissionerate police said. Doctors at the hospital said Basant suffered severe injuries on his head, chest, face and legs. Several actors from the Ollywood thronged the hospital and wished for Basant's quick recovery. Four persons, including Basant, were returning from a shoot in Mayurbhanj on Saturday,"" said actor Shakti Baral. The other three passengers are stable, doctors said. In another accident, a speeding truck hit a two-wheeler at Ranital in Bhadrak district in the morning, when there was dense fog. The biker and two pillion riders were taken to Bhadrak district headquarters hospital. While two of them were declared dead on arrival, the third victim died of injuries during treatment. ""We are trying to arrest the truck driver who fled with the vehicle. Identities of the three deceased are being ascertained,"" a police officer said. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Jan 22, 2024, 11:03 IST"
18,https://timesofindia.indiatimes.com/sports/cricket/news/i-felt-like-my-time-in-this-world-was-up-rishabh-pant-recalls-horrific-accident/articleshow/107238362.cms,"NEW DELHI: While driving his Mercedes SUV from New Delhi to Roorkee on the unfortunate day of December 30, 2022, the young Indian wicketkeeper-batsman Rishabh Pant experienced a few harrowing moments when the vehicle suddenly caught fire. During that time, he briefly felt that his 'time in this world is up.' Pant sustained injuries to his head, back, and feet, including two cuts on his forehead. He also suffered a ligament tear to his right knee and injuries to his right wrist, ankle, and toe, along with abrasions to his back. To address his facial injuries, lacerations, and abrasions, he underwent plastic surgery. In a candid conversation with Star Sports 'Believe' series, featuring real heroes of the game who have overcome the odds to become champions, Pant delved into the harrowing experience that nearly cost him his life and the remarkable resilience that propelled him towards redemption. In the promo shared by Star Sports, Pant vividly recounted the chilling moments of his near-fatal car accident at the end of 2022. ""First time in my life I felt like my time in this world was up. During the accident, I was aware of the wounds, but I was lucky as it could have been even more serious. I felt that someone saved me. I asked the doctor how long will it take for me to recover, he said it would take 16-18 months. I knew I had to work hard to cut this recovery time,"" Pant said. More than a year after that accident, Pant is now recovered and is likely to soon return to action. In the tumultuous world of sports, tales of triumph often emerge from the depths of adversity. Such is the narrative of Rishabh Pant, India's superstar wicketkeeper, whose journey from the brink of despair to the pinnacle of success serves as an inspiration to millions. The entire country is now waiting for Pant's return to the cricket field. (With inputs from IANS) Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Jan 29, 2024, 20:55 IST"
19,https://timesofindia.indiatimes.com/city/chennai/chennai-cop-and-wife-killed-in-car-accident-ulundurpet-collision/articleshow/107097281.cms,"Kallakurichi: A Chennai police constable and his wife died as their car overturned after a tyre burst, and collided head-on with another car coming in the opposite direction near Ulundurpet in Kallakurichi district on Monday night. Police said A Balamurugan, 32, a police constable attached to Sankar Nagar police station near Tambaram, and his wife A Vinothini, 30, were returning in his car after visiting his in-laws in Karur. When they crossed a flyover near Ulundurpet, one of the front tyres burst, Balamurugan lost control and the vehicle overturned. The car hit another one, coming from the opposite direction, bound for Trichy from Puducherry. Balamurugan and his wife sustained severe head injuries in the accident . Four people travelling in the other car also sustained injuries. The front portion of the police constable’s car was completely ripped off in the impact. Passersby rescued the injured people and rushed them to Ulundurpet government general hospital. Balamurugan and his wife succumbed to the injuries despite medical attention while four others were undergoing treatment at Ulundurpet GH. Edaikkal police registered a case and begun investigations. Explore Your Financial Landscape with Personalized Credit Insights."," Jan 24, 2024, 08:13 IST"
